Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BankLogin,Chrome 119.0.0.0,,,2023-11-28 12:28:43,2023-11-28 12:30:51,2m - 7.248s,PASSED
,,,,,,,
Test Cases/CustomerAlbusLogin,Chrome 119.0.0.0,,,2023-11-28 12:28:44,2023-11-28 12:29:07,22.989s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-28 12:28:45,2023-11-28 12:28:51,6.471s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-28 12:28:51,2023-11-28 12:28:55,3.470s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-28 12:28:55,2023-11-28 12:28:55,0.222s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-28 12:28:55,2023-11-28 12:28:57,2.396s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""4"", true)",Chrome 119.0.0.0,,,2023-11-28 12:28:57,2023-11-28 12:29:00,2.553s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:00,2023-11-28 12:29:01,0.610s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/select_101010111012""), ""number:1012"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:01,2023-11-28 12:29:03,2.428s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-28 12:29:03,2023-11-28 12:29:04,0.569s,PASSED
"setText(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""100"")",Chrome 119.0.0.0,,,2023-11-28 12:29:04,2023-11-28 12:29:05,1.377s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-28 12:29:05,2023-11-28 12:29:05,0.566s,PASSED
"click(findTestObject(""Object Repository/CustomerAlbusLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-28 12:29:05,2023-11-28 12:29:06,0.580s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-28 12:29:06,2023-11-28 12:29:07,0.925s,PASSED
,,,,,,,
Test Cases/CustomerHarryLogin,Chrome 119.0.0.0,,,2023-11-28 12:29:07,2023-11-28 12:29:22,15.378s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-28 12:29:08,2023-11-28 12:29:10,1.842s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-28 12:29:10,2023-11-28 12:29:12,1.945s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-28 12:29:12,2023-11-28 12:29:12,0.152s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:12,2023-11-28 12:29:13,1.150s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""2"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:13,2023-11-28 12:29:15,2.123s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:15,2023-11-28 12:29:16,0.747s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/select_100410051006""), ""number:1005"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:16,2023-11-28 12:29:18,2.485s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit""))",Chrome 119.0.0.0,,,2023-11-28 12:29:18,2023-11-28 12:29:19,0.607s,PASSED
"setText(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/input_Amount to be Deposited_form-control n_97f4dd""), ""1500"")",Chrome 119.0.0.0,,,2023-11-28 12:29:19,2023-11-28 12:29:20,1.340s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Deposit_1""))",Chrome 119.0.0.0,,,2023-11-28 12:29:20,2023-11-28 12:29:21,0.556s,PASSED
"click(findTestObject(""Object Repository/CutomerLoginHarry/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-28 12:29:21,2023-11-28 12:29:22,0.592s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-28 12:29:22,2023-11-28 12:29:22,0.871s,PASSED
,,,,,,,
Test Cases/CustomerNevilleLogin,Chrome 119.0.0.0,,,2023-11-28 12:29:22,2023-11-28 12:29:38,15.548s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-28 12:29:23,2023-11-28 12:29:25,1.472s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-28 12:29:25,2023-11-28 12:29:27,2.129s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-28 12:29:27,2023-11-28 12:29:27,0.154s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:27,2023-11-28 12:29:28,1.129s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""5"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:28,2023-11-28 12:29:30,2.064s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:30,2023-11-28 12:29:31,0.638s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1014"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:31,2023-11-28 12:29:34,2.616s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/select_101310141015""), ""number:1015"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:34,2023-11-28 12:29:35,1.423s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-28 12:29:35,2023-11-28 12:29:35,0.561s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Logout""))",Chrome 119.0.0.0,,,2023-11-28 12:29:35,2023-11-28 12:29:37,1.024s,PASSED
"click(findTestObject(""Object Repository/CustomerNevilleLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-28 12:29:37,2023-11-28 12:29:37,0.570s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-28 12:29:37,2023-11-28 12:29:38,0.882s,PASSED
,,,,,,,
Test Cases/CustomerRonLogin,Chrome 119.0.0.0,,,2023-11-28 12:29:38,2023-11-28 12:29:56,18.130s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-28 12:29:39,2023-11-28 12:29:40,1.484s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-28 12:29:40,2023-11-28 12:29:42,1.900s,PASSED
maximizeWindow(),Chrome 119.0.0.0,,,2023-11-28 12:29:42,2023-11-28 12:29:42,0.150s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Customer Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:42,2023-11-28 12:29:44,2.006s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_---Your Name---       Hermoine Grang_6e895b""), ""3"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:44,2023-11-28 12:29:46,1.835s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Login""))",Chrome 119.0.0.0,,,2023-11-28 12:29:46,2023-11-28 12:29:47,0.559s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdrawl""))",Chrome 119.0.0.0,,,2023-11-28 12:29:47,2023-11-28 12:29:49,2.609s,PASSED
"setText(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/input_Amount to be Withdrawn_form-control n_bccfe0""), ""1000"")",Chrome 119.0.0.0,,,2023-11-28 12:29:49,2023-11-28 12:29:51,1.351s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Withdraw""))",Chrome 119.0.0.0,,,2023-11-28 12:29:51,2023-11-28 12:29:51,0.547s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/span_Transaction Failed. You can not withdr_4b9636""))",Chrome 119.0.0.0,,,2023-11-28 12:29:51,2023-11-28 12:29:52,0.548s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/select_100710081009""), ""number:1008"", true)",Chrome 119.0.0.0,,,2023-11-28 12:29:52,2023-11-28 12:29:53,1.310s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Transactions""))",Chrome 119.0.0.0,,,2023-11-28 12:29:53,2023-11-28 12:29:54,0.592s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Back""))",Chrome 119.0.0.0,,,2023-11-28 12:29:54,2023-11-28 12:29:55,1.003s,PASSED
"click(findTestObject(""Object Repository/CustomerRonLogin/Page_XYZ Bank/button_Home""))",Chrome 119.0.0.0,,,2023-11-28 12:29:55,2023-11-28 12:29:55,0.543s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-28 12:29:55,2023-11-28 12:29:56,0.823s,PASSED
,,,,,,,
Test Cases/CustomerSearchManager,Chrome 119.0.0.0,,,2023-11-28 12:29:56,2023-11-28 12:30:11,14.897s,PASSED
"openBrowser("""")",Chrome 119.0.0.0,,,2023-11-28 12:29:57,2023-11-28 12:29:59,1.599s,PASSED
"navigateToUrl(""https://www.globalsqa.com/angularJs-protractor/BankingProject/#/login"")",Chrome 119.0.0.0,,,2023-11-28 12:29:59,2023-11-28 12:30:02,2.964s,PASSED
